id,journal_text,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,reflection_quality,emotional_state,intensity,cleaned_text,time_of_day_enc,reflection_quality_enc,previous_day_mood_enc,ambience_type_cafe,ambience_type_forest,ambience_type_mountain,ambience_type_ocean,ambience_type_rain,face_emotion_hint_calm_face,face_emotion_hint_happy_face,face_emotion_hint_neutral_face,face_emotion_hint_none,face_emotion_hint_tense_face,face_emotion_hint_tired_face,face_emotion_hint_unknown
11,"The rain sounds were nice, but I still feel unsettled and fidgety. Part of me wants to do everything at once.",12,6.5,3,3,afternoon,mixed,conflicted,restless,4,the rain sounds were nice but i still feel unsettled and fidgety part of me wants to do everything at once,2,1,3,False,False,False,False,True,False,False,False,True,False,False,False
12,I feel mentally clear after the mountain session and ready to tackle one thing at a time.,12,5.5,3,2,morning,restless,clear,focused,4,i feel mentally clear after the mountain session and ready to tackle one thing at a time,1,2,4,False,False,True,False,False,False,False,True,False,False,False,False
13,"The forest session made me calmer, but part of me still feels uneasy. Part of me wants rest, part of me wants action.",20,5.0,2,2,afternoon,neutral,conflicted,mixed,2,the forest session made me calmer but part of me still feels uneasy part of me wants rest part of me wants action,2,1,2,False,True,False,False,False,False,False,False,True,False,False,False
14,"The cafe session helped a little, though I still feel pulled in too many directions. Part of me wants to do everything at once.",12,6.0,3,5,early_morning,mixed,clear,restless,4,the cafe session helped a little though i still feel pulled in too many directions part of me wants to do everything at once,0,2,3,True,False,False,False,False,False,False,False,True,False,False,False
15,"I feel lighter after the mountain sounds, like my mind finally softened. I think I can start gently today.",8,8.0,3,3,night,overwhelmed,clear,calm,2,i feel lighter after the mountain sounds like my mind finally softened i think i can start gently today,4,2,5,False,False,True,False,False,True,False,False,False,False,False,False
16,"I came in distracted, but I left the forest session with a sharper mind. It feels easier to make a plan now.",15,6.0,3,1,early_morning,neutral,vague,focused,2,i came in distracted but i left the forest session with a sharper mind it feels easier to make a plan now,0,0,2,False,True,False,False,False,False,False,True,False,False,False,False
17,"The forest session made me calmer, but part of me still feels uneasy. I feel better and not better at the same time. I can't tell if I need rest or momentum.",35,6.0,2,3,night,mixed,vague,mixed,3,the forest session made me calmer but part of me still feels uneasy i feel better and not better at the same time i cant tell if i need rest or momentum,4,0,3,False,True,False,False,False,True,False,False,False,False,False,False
18,"The mountain session gave me a pause, but the pressure is still sitting hard on me. I'm carrying too much in my head.",15,5.5,3,5,early_morning,overwhelmed,vague,overwhelmed,4,the mountain session gave me a pause but the pressure is still sitting hard on me im carrying too much in my head,0,0,5,False,False,True,False,False,False,False,False,False,False,True,False
19,I feel mentally clear after the mountain session and ready to tackle one thing at a time. I should begin with the hardest task first.,8,7.5,3,2,night,focused,clear,focused,4,i feel mentally clear after the mountain session and ready to tackle one thing at a time i should begin with the hardest task first,4,2,1,False,False,True,False,False,False,False,True,False,False,False,False
20,"I started scattered, but the ocean session helped me lock in on what matters. My to-do list feels less chaotic. idk.",15,7.0,4,2,afternoon,calm,clear,focused,2,i started scattered but the ocean session helped me lock in on what matters my todo list feels less chaotic idk,2,2,0,False,False,False,True,False,False,False,False,False,True,False,False
21,"The mountain session made me calmer, but part of me still feels uneasy. Part of me wants rest, part of me wants action.",15,5.0,2,2,afternoon,calm,clear,mixed,3,the mountain session made me calmer but part of me still feels uneasy part of me wants rest part of me wants action,2,2,0,False,False,True,False,False,False,True,False,False,False,False,False
22,The cafe session wasn't enough today; everything still feels heavy and too much. It's hard to know where to begin.,12,6.0,2,4,afternoon,focused,conflicted,overwhelmed,4,the cafe session wasnt enough today everything still feels heavy and too much its hard to know where to begin,2,1,1,True,False,False,False,False,False,False,False,False,False,True,False
23,"even after the forest track, i feel exhausted and emotionally overloaded i feel emotionally tired i almost wanted to stop midway",18,5.5,2,4,morning,focused,vague,overwhelmed,5,even after the forest track i feel exhausted and emotionally overloaded i feel emotionally tired i almost wanted to stop midway,1,0,1,False,True,False,False,False,False,False,False,False,True,False,False
24,"I liked the ocean session, but my mood is still split between calm and tension. It's like two moods are sitting together. I can't tell if I need rest or momentum. idk.",20,7.0,4,4,afternoon,focused,clear,mixed,4,i liked the ocean session but my mood is still split between calm and tension its like two moods are sitting together i cant tell if i need rest or momentum idk,2,2,1,False,False,False,True,False,False,False,False,False,True,False,False
25,"Even after the mountain track, I feel exhausted and emotionally overloaded. I feel emotionally tired.",12,3.5,2,5,night,mixed,vague,overwhelmed,4,even after the mountain track i feel exhausted and emotionally overloaded i feel emotionally tired,4,0,3,False,False,True,False,False,False,False,False,False,True,False,False
26,"The forest session was okay I don't feel much different, just a bit more aware Maybe I need more time to notice a difference",10,7.5,3,3,night,overwhelmed,clear,neutral,2,the forest session was okay i dont feel much different just a bit more aware maybe i need more time to notice a difference,4,2,5,False,True,False,False,False,True,False,False,False,False,False,False
27,"I started scattered, but the cafe session helped me lock in on what matters. My to-do list feels less chaotic.",25,7.5,4,1,night,overwhelmed,clear,focused,4,i started scattered but the cafe session helped me lock in on what matters my todo list feels less chaotic,4,2,5,True,False,False,False,False,False,False,True,False,False,False,False
28,The cafe ambience helped me breathe slower and let go of some pressure.,8,6.5,4,1,early_morning,neutral,clear,calm,3,the cafe ambience helped me breathe slower and let go of some pressure,0,2,2,True,False,False,False,False,False,False,False,True,False,False,False
29,The mountain background made it easier to organize my thoughts and work plan.,25,7.5,5,2,night,restless,clear,focused,4,the mountain background made it easier to organize my thoughts and work plan,4,2,4,False,False,True,False,False,False,True,False,False,False,False,False
30,"I wasn't expecting much, but the rain session made me feel quiet inside My shoulders feel less tense",25,6.0,4,2,early_morning,focused,clear,calm,2,i wasnt expecting much but the rain session made me feel quiet inside my shoulders feel less tense,0,2,1,False,False,False,False,True,False,False,True,False,False,False,False
31,"I wanted the ocean to calm me, but today my stress feels bigger than the session. I almost wanted to stop midway.",18,6.0,2,5,afternoon,mixed,conflicted,overwhelmed,5,i wanted the ocean to calm me but today my stress feels bigger than the session i almost wanted to stop midway,2,1,3,False,False,False,True,False,False,False,False,True,False,False,False
32,"I wasn't expecting much, but the mountain session made me feel quiet inside. I think I can start gently today.",10,8.0,3,2,evening,neutral,vague,calm,4,i wasnt expecting much but the mountain session made me feel quiet inside i think i can start gently today,3,0,2,False,False,True,False,False,True,False,False,False,False,False,False
33,I feel mentally clear after the cafe session and ready to tackle one thing at a time.,25,7.0,4,2,morning,calm,clear,focused,2,i feel mentally clear after the cafe session and ready to tackle one thing at a time,1,2,0,True,False,False,False,False,False,False,True,False,False,False,False
34,"The ocean session was okay. I don't feel much different, just a bit more aware. Nothing really clicked yet.",25,6.0,4,4,night,restless,clear,neutral,2,the ocean session was okay i dont feel much different just a bit more aware nothing really clicked yet,4,2,4,False,False,False,True,False,False,False,True,False,False,False,False
35,The rain ambience helped me stop drifting and concentrate on my next steps. I should use this window well.,15,6.0,4,1,early_morning,mixed,vague,focused,3,the rain ambience helped me stop drifting and concentrate on my next steps i should use this window well,0,0,3,False,False,False,False,True,True,False,False,False,False,False,False
36,"The forest session was okay. I don't feel much different, just a bit more aware. Nothing really clicked yet.",12,6.5,4,3,afternoon,neutral,clear,neutral,2,the forest session was okay i dont feel much different just a bit more aware nothing really clicked yet,2,2,2,False,True,False,False,False,False,False,False,True,False,False,False
37,I feel both comforted and distracted after the cafe ambience. It's like two moods are sitting together. I can't tell if I need rest or momentum.,25,5.0,2,5,evening,focused,vague,mixed,4,i feel both comforted and distracted after the cafe ambience its like two moods are sitting together i cant tell if i need rest or momentum,3,0,1,True,False,False,False,False,False,False,True,False,False,False,False
38,"I wanted the mountain to calm me, but today my stress feels bigger than the session. I feel emotionally tired.",10,5.0,1,5,early_morning,mixed,conflicted,overwhelmed,5,i wanted the mountain to calm me but today my stress feels bigger than the session i feel emotionally tired,0,1,3,False,False,True,False,False,False,False,False,True,False,False,False
39,"I feel lighter after the cafe sounds, like my mind finally softened. My shoulders feel less tense.",20,7.0,4,1,evening,focused,clear,calm,2,i feel lighter after the cafe sounds like my mind finally softened my shoulders feel less tense,3,2,1,True,False,False,False,False,True,False,False,False,False,False,False
40,"The rain track was fine. I feel steady, not especially better or worse.",20,7.5,3,2,afternoon,overwhelmed,clear,neutral,1,the rain track was fine i feel steady not especially better or worse,2,2,5,False,False,False,False,True,False,False,True,False,False,False,False
41,"The rain ambience was pleasant, though I can't say it shifted my mood much. Maybe I need more time to notice a difference.",8,7.5,3,2,morning,overwhelmed,conflicted,neutral,2,the rain ambience was pleasant though i cant say it shifted my mood much maybe i need more time to notice a difference,1,1,5,False,False,False,False,True,True,False,False,False,False,False,False
42,"I feel both comforted and distracted after the mountain ambience There is relief, but also some lingering pressure",15,5.5,3,3,early_morning,restless,conflicted,mixed,4,i feel both comforted and distracted after the mountain ambience there is relief but also some lingering pressure,0,1,4,False,False,True,False,False,False,False,True,False,False,False,False
43,The mountain ambience helped me stop drifting and concentrate on my next steps. I should begin with the hardest task first.,8,7.0,3,2,evening,calm,vague,focused,2,the mountain ambience helped me stop drifting and concentrate on my next steps i should begin with the hardest task first,3,0,0,False,False,True,False,False,False,False,False,True,False,False,False
44,"I tried to relax during the mountain ambience, yet my thoughts kept racing. I keep wanting to switch tasks.",18,4.5,4,5,early_morning,calm,conflicted,restless,3,i tried to relax during the mountain ambience yet my thoughts kept racing i keep wanting to switch tasks,0,1,0,False,False,True,False,False,False,False,True,False,False,False,False
45,"The cafe sounds were nice, but I still feel unsettled and fidgety. I keep wanting to switch tasks.",10,5.0,3,4,evening,mixed,clear,restless,4,the cafe sounds were nice but i still feel unsettled and fidgety i keep wanting to switch tasks,3,2,3,True,False,False,False,False,False,True,False,False,False,False,False
46,"The mountain track helped a little, though something still feels off underneath. There is relief, but also some lingering pressure.",20,7.0,4,2,morning,neutral,clear,mixed,2,the mountain track helped a little though something still feels off underneath there is relief but also some lingering pressure,1,2,2,False,False,True,False,False,False,False,False,True,False,False,False
47,The cafe session slowed my thoughts and I feel more settled now. I think I can start gently today.,12,7.0,2,2,afternoon,focused,clear,calm,4,the cafe session slowed my thoughts and i feel more settled now i think i can start gently today,2,2,1,True,False,False,False,False,False,True,False,False,False,False,False
48,"I noticed the ocean sounds, but emotionally I still feel mostly the same. Maybe I need more time to notice a difference.",18,7.5,3,3,morning,neutral,clear,neutral,1,i noticed the ocean sounds but emotionally i still feel mostly the same maybe i need more time to notice a difference,1,2,2,False,False,False,True,False,False,False,False,True,False,False,False
49,"i feel lighter after the ocean sounds, like my mind finally softened i think i can start gently today",25,7.5,4,1,morning,mixed,clear,calm,4,i feel lighter after the ocean sounds like my mind finally softened i think i can start gently today,1,2,3,False,False,False,True,False,False,False,False,True,False,False,False
50,"Even with the cafe session, my mind kept jumping between tasks. I still feel a low buzz in my body.",15,5.5,4,5,evening,focused,clear,restless,4,even with the cafe session my mind kept jumping between tasks i still feel a low buzz in my body,3,2,1,True,False,False,False,False,False,False,False,False,True,False,False
51,Nothing strong came up during the forest session; I feel fairly normal At least I paused for a moment,3,6.5,3,2,early_morning,mixed,clear,neutral,2,nothing strong came up during the forest session i feel fairly normal at least i paused for a moment,0,2,3,False,True,False,False,False,False,False,False,False,False,False,True
52,"I liked the ocean session, but my mood is still split between calm and tension. Part of me wants rest, part of me wants action.",12,6.0,3,3,evening,restless,conflicted,mixed,4,i liked the ocean session but my mood is still split between calm and tension part of me wants rest part of me wants action,3,1,4,False,False,False,True,False,True,False,False,False,False,False,False
53,"I feel lighter after the ocean sounds, like my mind finally softened. The pace of my breathing changed.",10,7.5,4,2,morning,mixed,conflicted,calm,4,i feel lighter after the ocean sounds like my mind finally softened the pace of my breathing changed,1,1,3,False,False,False,True,False,False,False,True,False,False,False,False
54,The ocean session wasn't enough today; everything still feels heavy and too much.,25,4.5,2,4,night,focused,vague,overwhelmed,5,the ocean session wasnt enough today everything still feels heavy and too much,4,0,1,False,False,False,True,False,False,False,False,False,False,False,True
55,"I feel lighter after the cafe sounds, like my mind finally softened. My shoulders feel less tense.",15,6.0,4,2,afternoon,overwhelmed,vague,calm,4,i feel lighter after the cafe sounds like my mind finally softened my shoulders feel less tense,2,0,5,True,False,False,False,False,False,True,False,False,False,False,False
56,After the forest track I feel peaceful and less pulled in every direction.,20,6.5,4,2,afternoon,neutral,clear,calm,3,after the forest track i feel peaceful and less pulled in every direction,2,2,2,False,True,False,False,False,True,False,False,False,False,False,False
57,"I feel lighter after the rain sounds, like my mind finally softened.",20,6.0,3,2,morning,neutral,clear,calm,3,i feel lighter after the rain sounds like my mind finally softened,1,2,2,False,False,False,False,True,False,False,False,True,False,False,False
58,"The forest sounds were nice, but I still feel unsettled and fidgety.",12,6.0,3,3,early_morning,overwhelmed,clear,restless,5,the forest sounds were nice but i still feel unsettled and fidgety,0,2,5,False,True,False,False,False,False,False,False,False,False,True,False
59,The mountain ambience helped me stop drifting and concentrate on my next steps.,8,7.0,3,3,afternoon,mixed,clear,focused,3,the mountain ambience helped me stop drifting and concentrate on my next steps,2,2,3,False,False,True,False,False,True,False,False,False,False,False,False
60,"The mountain ambience was pleasant, though I can't say it shifted my mood much. I can continue the day as usual.",25,7.0,3,3,morning,restless,clear,neutral,3,the mountain ambience was pleasant though i cant say it shifted my mood much i can continue the day as usual,1,2,4,False,False,True,False,False,False,True,False,False,False,False,False
61,"Even with the ocean session, my mind kept jumping between tasks.",12,5.0,3,4,night,neutral,conflicted,restless,3,even with the ocean session my mind kept jumping between tasks,4,1,2,False,False,False,True,False,False,False,True,False,False,False,False
62,"After the rain sounds I feel better than before, but not completely okay.",15,5.5,3,4,early_morning,neutral,conflicted,mixed,4,after the rain sounds i feel better than before but not completely okay,0,1,2,False,False,False,False,True,False,False,False,True,False,False,False
63,The mountain session wasn't enough today; everything still feels heavy and too much. Even small tasks feel big right now.,18,4.5,1,5,evening,restless,clear,overwhelmed,5,the mountain session wasnt enough today everything still feels heavy and too much even small tasks feel big right now,3,2,4,False,False,True,False,False,False,False,False,True,False,False,False
64,The ocean background made it easier to organize my thoughts and work plan. I can see my priorities more clearly.,20,6.0,4,1,early_morning,focused,conflicted,focused,2,the ocean background made it easier to organize my thoughts and work plan i can see my priorities more clearly,0,1,1,False,False,False,True,False,False,True,False,False,False,False,False
65,"after the mountain sounds i feel better than before, but not completely okay. it's like two moods are sitting together.",20,4.5,3,4,afternoon,mixed,vague,mixed,2,after the mountain sounds i feel better than before but not completely okay its like two moods are sitting together,2,0,3,False,False,True,False,False,False,False,True,False,False,False,False
66,After the mountain track I feel peaceful and less pulled in every direction. My shoulders feel less tense.,12,8.0,2,2,early_morning,restless,clear,calm,4,after the mountain track i feel peaceful and less pulled in every direction my shoulders feel less tense,0,2,4,False,False,True,False,False,False,False,True,False,False,False,False
67,"The cafe session helped a little, though I still feel pulled in too many directions.",20,5.0,4,5,morning,neutral,clear,restless,4,the cafe session helped a little though i still feel pulled in too many directions,1,2,2,True,False,False,False,False,False,False,False,False,True,False,False
68,The cafe background made it easier to organize my thoughts and work plan.,18,6.0,3,3,early_morning,neutral,conflicted,focused,4,the cafe background made it easier to organize my thoughts and work plan,0,1,2,True,False,False,False,False,False,False,True,False,False,False,False
69,"I sat through the cafe ambience, but I still feel flooded by what I need to do. I almost wanted to stop midway.",3,4.5,2,5,night,restless,clear,overwhelmed,5,i sat through the cafe ambience but i still feel flooded by what i need to do i almost wanted to stop midway,4,2,4,True,False,False,False,False,False,False,False,False,False,True,False
70,"I feel lighter after the forest sounds, like my mind finally softened My shoulders feel less tense",10,7.0,3,2,afternoon,neutral,clear,calm,3,i feel lighter after the forest sounds like my mind finally softened my shoulders feel less tense,2,2,2,False,True,False,False,False,False,False,True,False,False,False,False
71,"I sat through the cafe ambience, but I still feel flooded by what I need to do. I'm carrying too much in my head.",8,6.0,2,4,afternoon,neutral,clear,overwhelmed,5,i sat through the cafe ambience but i still feel flooded by what i need to do im carrying too much in my head,2,2,2,True,False,False,False,False,False,False,False,False,True,False,False
72,"i sat through the mountain ambience, but i still feel flooded by what i need to do.",18,3.5,3,5,night,neutral,clear,overwhelmed,4,i sat through the mountain ambience but i still feel flooded by what i need to do,4,2,2,False,False,True,False,False,False,False,False,False,True,False,False
73,"I noticed the ocean sounds, but emotionally I still feel mostly the same At least I paused for a moment",12,5.5,2,3,morning,calm,clear,neutral,1,i noticed the ocean sounds but emotionally i still feel mostly the same at least i paused for a moment,1,2,0,False,False,False,True,False,False,False,True,False,False,False,False
74,Nothing strong came up during the forest session; I feel fairly normal I can continue the day as usual,12,7.0,3,4,night,restless,clear,neutral,1,nothing strong came up during the forest session i feel fairly normal i can continue the day as usual,4,2,4,False,True,False,False,False,False,False,True,False,False,False,False
75,I couldn't really settle into the rain track; I kept thinking of everything at once. I keep wanting to switch tasks.,20,4.5,4,3,evening,overwhelmed,vague,restless,4,i couldnt really settle into the rain track i kept thinking of everything at once i keep wanting to switch tasks,3,0,5,False,False,False,False,True,False,False,False,False,True,False,False
76,"The cafe ambience was pleasant, though I can't say it shifted my mood much. At least I paused for a moment.",30,6.5,4,3,night,restless,conflicted,neutral,2,the cafe ambience was pleasant though i cant say it shifted my mood much at least i paused for a moment,4,1,4,True,False,False,False,False,False,False,True,False,False,False,False
77,"After the forest sounds I feel better than before, but not completely okay. I can't tell if I need rest or momentum.",18,4.5,2,2,evening,restless,clear,mixed,3,after the forest sounds i feel better than before but not completely okay i cant tell if i need rest or momentum,3,2,4,False,True,False,False,False,True,False,False,False,False,False,False
78,"After the cafe sounds I feel better than before, but not completely okay. I feel better and not better at the same time.",8,6.5,3,3,evening,calm,clear,mixed,3,after the cafe sounds i feel better than before but not completely okay i feel better and not better at the same time,3,2,0,True,False,False,False,False,False,False,False,False,True,False,False
79,I feel both comforted and distracted after the mountain ambience. It's like two moods are sitting together.,12,6.0,4,2,morning,restless,vague,mixed,3,i feel both comforted and distracted after the mountain ambience its like two moods are sitting together,1,0,4,False,False,True,False,False,False,False,True,False,False,False,False
80,the cafe ambience helped me stop drifting and concentrate on my next steps. i should begin with the hardest task first.,25,5.5,5,2,night,mixed,conflicted,focused,3,the cafe ambience helped me stop drifting and concentrate on my next steps i should begin with the hardest task first,4,1,3,True,False,False,False,False,False,False,False,True,False,False,False
81,"I feel lighter after the mountain sounds, like my mind finally softened. I think I can start gently today.",12,6.0,3,2,morning,focused,clear,calm,3,i feel lighter after the mountain sounds like my mind finally softened i think i can start gently today,1,2,1,False,False,True,False,False,False,False,True,False,False,False,False
82,"I came in distracted, but I left the rain session with a sharper mind. I should begin with the hardest task first.",25,6.0,5,2,evening,calm,clear,focused,4,i came in distracted but i left the rain session with a sharper mind i should begin with the hardest task first,3,2,0,False,False,False,False,True,False,False,True,False,False,False,False
83,"I started scattered, but the ocean session helped me lock in on what matters. My to-do list feels less chaotic.",15,7.5,3,2,afternoon,calm,clear,focused,4,i started scattered but the ocean session helped me lock in on what matters my todo list feels less chaotic,2,2,0,False,False,False,True,False,False,False,True,False,False,False,False
84,"I feel lighter after the ocean sounds, like my mind finally softened. The pace of my breathing changed.",35,8.0,3,3,early_morning,focused,conflicted,calm,3,i feel lighter after the ocean sounds like my mind finally softened the pace of my breathing changed,0,1,1,False,False,False,True,False,True,False,False,False,False,False,False
85,"Even after the forest track, I feel exhausted and emotionally overloaded.",8,5.5,2,5,afternoon,neutral,clear,overwhelmed,5,even after the forest track i feel exhausted and emotionally overloaded,2,2,2,False,True,False,False,False,False,False,False,False,False,True,False
86,The forest session slowed my thoughts and I feel more settled now. My shoulders feel less tense.,10,6.5,4,3,evening,calm,clear,calm,2,the forest session slowed my thoughts and i feel more settled now my shoulders feel less tense,3,2,0,False,True,False,False,False,False,False,False,False,False,False,True
87,"The forest session made me calmer, but part of me still feels uneasy There is relief, but also some lingering pressure",8,4.5,4,4,night,focused,clear,mixed,3,the forest session made me calmer but part of me still feels uneasy there is relief but also some lingering pressure,4,2,1,False,True,False,False,False,False,False,False,False,True,False,False
88,"I noticed the rain sounds, but emotionally I still feel mostly the same. Nothing really clicked yet. Maybe later I'll understand it more.",20,6.0,3,3,evening,calm,vague,neutral,1,i noticed the rain sounds but emotionally i still feel mostly the same nothing really clicked yet maybe later ill understand it more,3,0,0,False,False,False,False,True,False,False,True,False,False,False,False
89,"Even with the mountain session, my mind kept jumping between tasks.",15,6.5,3,4,morning,calm,clear,restless,4,even with the mountain session my mind kept jumping between tasks,1,2,0,False,False,True,False,False,False,False,False,False,True,False,False
90,I couldn't really settle into the cafe track; I kept thinking of everything at once. Part of me wants to do everything at once.,8,6.5,2,5,early_morning,overwhelmed,conflicted,restless,4,i couldnt really settle into the cafe track i kept thinking of everything at once part of me wants to do everything at once,0,1,5,True,False,False,False,False,False,False,True,False,False,False,False
91,"The cafe track was fine. I feel steady, not especially better or worse.",20,7.0,3,3,evening,neutral,clear,neutral,1,the cafe track was fine i feel steady not especially better or worse,3,2,2,True,False,False,False,False,False,False,True,False,False,False,False
92,"The forest track was fine I feel steady, not especially better or worse At least I paused for a moment Maybe later I'll understand it more",15,5.5,2,3,morning,overwhelmed,vague,neutral,1,the forest track was fine i feel steady not especially better or worse at least i paused for a moment maybe later ill understand it more,1,0,5,False,True,False,False,False,False,False,True,False,False,False,False
93,"Even with the cafe session, my mind kept jumping between tasks. Part of me wants to do everything at once.",10,5.0,3,5,early_morning,restless,conflicted,restless,4,even with the cafe session my mind kept jumping between tasks part of me wants to do everything at once,0,1,4,True,False,False,False,False,False,False,False,False,False,True,False
94,"I tried to relax during the rain ambience, yet my thoughts kept racing. I keep wanting to switch tasks.",20,6.0,3,4,early_morning,overwhelmed,conflicted,restless,4,i tried to relax during the rain ambience yet my thoughts kept racing i keep wanting to switch tasks,0,1,5,False,False,False,False,True,False,False,False,True,False,False,False
95,"I noticed the rain sounds, but emotionally I still feel mostly the same. idk.",30,6.5,3,3,night,overwhelmed,conflicted,neutral,2,i noticed the rain sounds but emotionally i still feel mostly the same idk,4,1,5,False,False,False,False,True,False,False,True,False,False,False,False
96,I couldn't really settle into the forest track; I kept thinking of everything at once. I keep wanting to switch tasks.,35,6.0,3,3,afternoon,restless,clear,restless,4,i couldnt really settle into the forest track i kept thinking of everything at once i keep wanting to switch tasks,2,2,4,False,True,False,False,False,False,False,True,False,False,False,False
97,"The mountain session made me calmer, but part of me still feels uneasy. I feel better and not better at the same time.",15,6.0,3,3,afternoon,neutral,clear,mixed,2,the mountain session made me calmer but part of me still feels uneasy i feel better and not better at the same time,2,2,2,False,False,True,False,False,False,False,True,False,False,False,False
98,"The ocean session helped a little, though I still feel pulled in too many directions. I still feel a low buzz in my body.",20,4.5,2,5,afternoon,mixed,clear,restless,4,the ocean session helped a little though i still feel pulled in too many directions i still feel a low buzz in my body,2,2,3,False,False,False,True,False,False,False,True,False,False,False,False
99,I feel mentally clear after the rain session and ready to tackle one thing at a time. I can see my priorities more clearly. I should use this window well.,18,6.0,4,1,evening,overwhelmed,clear,focused,2,i feel mentally clear after the rain session and ready to tackle one thing at a time i can see my priorities more clearly i should use this window well,3,2,5,False,False,False,False,True,False,False,True,False,False,False,False
100,"The forest track helped a little, though something still feels off underneath.",10,5.5,4,2,evening,calm,clear,mixed,2,the forest track helped a little though something still feels off underneath,3,2,0,False,True,False,False,False,False,False,True,False,False,False,False
101,"After the forest sounds I feel better than before, but not completely okay. I feel better and not better at the same time.",15,7.0,2,2,afternoon,restless,clear,mixed,4,after the forest sounds i feel better than before but not completely okay i feel better and not better at the same time,2,2,4,False,True,False,False,False,False,False,False,False,False,False,True
102,"I feel lighter after the forest sounds, like my mind finally softened. The pace of my breathing changed.",12,7.0,3,1,afternoon,neutral,clear,calm,2,i feel lighter after the forest sounds like my mind finally softened the pace of my breathing changed,2,2,2,False,True,False,False,False,False,False,False,False,False,False,True
103,"I tried to relax during the mountain ambience, yet my thoughts kept racing. I still feel a low buzz in my body. idk.",12,6.0,3,3,night,restless,conflicted,restless,3,i tried to relax during the mountain ambience yet my thoughts kept racing i still feel a low buzz in my body idk,4,1,4,False,False,True,False,False,False,False,False,False,True,False,False
104,After the rain track I feel peaceful and less pulled in every direction. I think I can start gently today.,15,8.0,3,2,early_morning,calm,conflicted,calm,3,after the rain track i feel peaceful and less pulled in every direction i think i can start gently today,0,1,0,False,False,False,False,True,False,False,True,False,False,False,False
105,The rain session wasn't enough today; everything still feels heavy and too much. I feel emotionally tired. I almost wanted to stop midway.,15,5.5,2,5,night,calm,conflicted,overwhelmed,4,the rain session wasnt enough today everything still feels heavy and too much i feel emotionally tired i almost wanted to stop midway,4,1,0,False,False,False,False,True,False,False,False,True,False,False,False
106,"Even with the cafe session, my mind kept jumping between tasks. I still feel a low buzz in my body.",35,5.5,3,3,morning,mixed,vague,restless,5,even with the cafe session my mind kept jumping between tasks i still feel a low buzz in my body,1,0,3,True,False,False,False,False,False,False,False,False,True,False,False
